cid_grupo;descricao;descricao_curta;grupo_cid;qt_internacoes;permanencia_media;permanencia_total;custo_total;idade_media;obitos;pct_internacoes;pct_dias_leito;indice_carga_leito
F12;Transtornos mentais e comportamentais devidos ao uso de canabinoides;Uso de canabinoides;F10-F19;6029;11.2;67284;5264029.07;38.7;54;1.38;0.86;0.62
F13;Transtornos mentais devidos ao uso de sedativos ou hipnóticos;Uso de sedativos;F10-F19;4025;12.0;48121;3762480.06;38.6;67;0.92;0.62;0.67
F00;Demência na doença de Alzheimer;Demência (Alzheimer);F00-F09;3968;18.9;74987;5921428.05;38.5;45;0.91;0.96;1.05
F11;Transtornos mentais e comportamentais devidos ao uso de opiáceos;Uso de opiáceos;F10-F19;3516;12.0;42039;3379565.32;39.0;37;0.8;0.54;0.68
F22;Transtornos delirantes persistentes;Transtorno delirante;F20-F29;3495;24.4;85235;6788931.52;38.3;46;0.8;1.1;1.38
F01;Demência vascular;Demência vascular;F00-F09;2955;20.9;61745;4817412.92;38.6;25;0.67;0.79;1.18
F15;Transtornos mentais devidos ao uso de outros estimulantes;Outros estimulantes;F10-F19;2948;9.9;29167;2297464.05;38.3;31;0.67;0.37;0.55
F42;Transtorno obsessivo-compulsivo;Obsessivo-compulsivo;F40-F48;2652;12.0;31851;2469781.02;39.2;27;0.61;0.41;0.67
F03;Demência não especificada;Demência não especificada;F00-F09;2566;20.1;51511;4175161.78;38.7;27;0.59;0.66;1.12
F05;Delirium não induzido por álcool ou outras substâncias;Delirium;F00-F09;2208;12.2;26999;2138756.13;38.7;29;0.5;0.35;0.7
F70;Retardo mental leve;Retardo mental leve;F70-F79;2183;9.0;19684;1581793.5;38.8;25;0.5;0.25;0.5
F50;Transtornos da alimentação;Transtorno alimentar;F50-F59;2177;25.0;54370;4244669.07;39.0;24;0.5;0.7;1.4
F28;Outros transtornos psicóticos não orgânicos;Outra psicose;F20-F29;2135;19.3;41265;3392299.47;38.8;15;0.49;0.53;1.08
F90;Transtornos hipercinéticos;Transtorno hipercinético;F90-F98;1787;7.9;14158;1140819.15;38.6;15;0.41;0.18;0.44
F61;Transtornos mistos da personalidade;Personalidade mista;F60-F69;1763;11.2;19694;1528324.85;39.3;16;0.4;0.25;0.62
F34;Transtornos de humor persistentes;Humor persistente;F30-F39;1762;12.6;22280;1681877.07;38.6;14;0.4;0.29;0.72
F40;Transtornos fóbico-ansiosos;Transtorno fóbico;F40-F48;1732;8.1;14005;1110387.42;38.6;21;0.4;0.18;0.45
F84;Transtornos globais do desenvolvimento;Desenvolvimento global;F80-F89;1706;10.1;17151;1328885.46;38.5;20;0.39;0.22;0.56
F91;Distúrbios de conduta;Distúrbio de conduta;F90-F98;1332;10.0;13364;1056080.54;38.6;12;0.3;0.17;0.57
F17;Transtornos mentais e comportamentais devidos ao uso de tabaco;Uso de tabaco;F10-F19;1326;7.0;9311;751097.23;38.8;14;0.3;0.12;0.4
F21;Transtorno esquizotípico;Transtorno esquizotípico;F20-F29;1320;20.0;26419;1980329.77;38.6;11;0.3;0.34;1.13
F63;Transtornos dos hábitos e dos impulsos;Hábitos e impulsos;F60-F69;1309;10.0;13030;999067.22;38.5;9;0.3;0.17;0.57
F71;Retardo mental moderado;Retardo mental moderado;F70-F79;1284;12.0;15345;1121516.29;38.4;7;0.29;0.2;0.69
F44;Transtornos dissociativos ou conversivos;Transtorno dissociativo;F40-F48;936;8.7;8185;641679.43;38.4;11;0.21;0.11;0.52
F06;Outros transtornos mentais devidos a lesão cerebral;Transtorno por lesão cerebral;F00-F09;915;16.6;15151;1126031.85;38.2;7;0.21;0.19;0.9
F39;Transtorno do humor não especificado;Transtorno do humor;F30-F39;913;13.8;12630;1007804.15;39.2;12;0.21;0.16;0.76
F16;Transtornos mentais e comportamentais devidos ao uso de alucinógenos;Uso de alucinógenos;F10-F19;875;9.0;7889;627890.33;37.7;18;0.2;0.1;0.5
F45;Transtornos somatoformes;Transtorno somatoforme;F40-F48;844;8.0;6775;500486.82;38.5;9;0.19;0.09;0.47
F72;Retardo mental grave;Retardo mental grave;F70-F79;672;16.2;10914;863869.88;38.5;7;0.15;0.14;0.93
F92;Transtornos mistos de conduta e das emoções;Conduta e emoções;F90-F98;460;9.2;4210;312951.75;38.3;9;0.1;0.05;0.5
F09;Transtorno mental orgânico não especificado;Transtorno orgânico;F00-F09;459;15.2;6982;561941.37;39.9;5;0.1;0.09;0.9
F51;Transtornos do sono não orgânicos;Transtorno do sono;F50-F59;442;7.0;3089;238395.62;39.1;4;0.1;0.04;0.4
F18;Transtornos mentais devidos ao uso de solventes voláteis;Uso de solventes;F10-F19;441;12.3;5417;430476.84;38.2;8;0.1;0.07;0.7
F79;Retardo mental não especificado;Retardo mental;F70-F79;208;11.0;2293;193798.07;38.8;1;0.05;0.03;0.6
